timestamp_ms,pressure,ax,ay,az,gx,gy,gz,label
1764138703874,0,-0.103000,-0.018000,1.042000,126,127,127,idle
1764138703895,0,-0.104000,-0.018000,1.044000,126,127,127,idle
1764138703916,0,-0.103000,-0.018000,1.043000,126,127,127,idle
1764138703936,0,-0.104000,-0.019000,1.042000,126,127,127,idle
1764138703957,0,-0.105000,-0.020000,1.041000,126,127,127,idle
1764138703979,0,-0.106000,-0.018000,1.042000,126,127,127,idle
1764138703999,0,-0.106000,-0.018000,1.042000,126,127,127,idle
1764138704020,0,-0.106000,-0.018000,1.042000,126,127,127,idle
1764138704041,0,-0.105000,-0.018000,1.041000,126,127,127,idle
1764138704061,0,-0.104000,-0.018000,1.042000,126,127,127,idle
1764138704081,0,-0.103000,-0.019000,1.043000,126,127,127,idle
1764138704101,0,-0.103000,-0.020000,1.043000,126,127,126,idle
1764138704121,0,-0.103000,-0.020000,1.043000,126,127,126,idle
1764138704142,0,-0.103000,-0.020000,1.043000,126,127,126,idle
1764138704163,0,-0.103000,-0.020000,1.042000,126,127,126,idle
1764138704183,0,-0.105000,-0.020000,1.042000,126,127,126,idle
1764138704204,0,-0.104000,-0.020000,1.041000,126,127,126,idle
1764138704225,0,-0.104000,-0.020000,1.042000,126,127,126,idle
1764138704245,0,-0.104000,-0.019000,1.042000,126,127,126,idle
1764138704266,0,-0.106000,-0.020000,1.041000,126,127,126,idle
1764138704286,0,-0.105000,-0.021000,1.041000,126,127,126,idle
1764138704307,0,-0.105000,-0.021000,1.042000,126,127,126,idle
1764138704327,0,-0.106000,-0.020000,1.042000,126,127,126,idle
1764138704348,0,-0.106000,-0.020000,1.043000,126,127,126,idle
1764138704368,0,-0.104000,-0.020000,1.043000,126,127,126,idle
1764138704389,0,-0.105000,-0.019000,1.043000,126,127,127,idle
1764138704408,0,-0.105000,-0.019000,1.043000,126,127,127,idle
1764138704429,0,-0.103000,-0.020000,1.043000,126,127,127,idle
1764138704449,0,-0.104000,-0.019000,1.042000,126,127,127,idle
1764138704470,0,-0.105000,-0.020000,1.042000,126,127,126,idle
1764138704491,0,-0.103000,-0.020000,1.042000,126,127,126,idle
1764138704513,0,-0.103000,-0.020000,1.041000,126,127,126,idle
1764138704532,0,-0.103000,-0.021000,1.041000,126,127,127,idle
1764138704552,0,-0.103000,-0.020000,1.042000,126,127,127,idle
1764138704572,0,-0.103000,-0.020000,1.043000,126,127,127,idle
1764138704592,0,-0.103000,-0.020000,1.043000,126,127,127,idle
