timestamp_ms,pressure,ax,ay,az,gx,gy,gz,label
1764140821680,0,-0.094000,-0.015000,1.042000,126,127,127,idle
1764140821700,0,-0.093000,-0.016000,1.044000,126,127,126,idle
1764140821720,0,-0.096000,-0.015000,1.046000,126,127,127,idle
1764140821741,0,-0.096000,-0.015000,1.044000,126,127,127,idle
1764140821761,0,-0.093000,-0.016000,1.051000,126,127,127,idle
1764140821782,0,-0.094000,-0.015000,1.049000,126,127,127,idle
1764140821802,0,-0.091000,-0.016000,1.047000,126,127,127,idle
1764140821823,0,-0.091000,-0.016000,1.048000,126,127,127,idle
1764140821843,0,-0.091000,-0.015000,1.047000,126,127,127,idle
1764140821864,0,-0.091000,-0.016000,1.047000,126,127,126,idle
1764140821884,0,-0.092000,-0.017000,1.047000,126,127,127,idle
1764140821905,0,-0.094000,-0.017000,1.047000,126,127,127,idle
1764140821925,0,-0.094000,-0.016000,1.047000,126,127,127,idle
1764140821946,0,-0.094000,-0.017000,1.046000,126,127,127,idle
1764140821966,0,-0.093000,-0.017000,1.045000,126,127,127,idle
1764140821986,0,-0.092000,-0.015000,1.046000,126,127,127,idle
1764140822007,0,-0.091000,-0.016000,1.046000,126,127,127,idle
1764140822027,0,-0.091000,-0.016000,1.047000,126,127,126,idle
1764140822048,0,-0.092000,-0.015000,1.046000,126,127,127,idle
1764140822069,0,-0.094000,-0.015000,1.046000,126,127,127,idle
1764140822089,0,-0.097000,-0.014000,1.044000,126,127,127,idle
1764140822111,0,-0.097000,-0.014000,1.043000,126,127,126,idle
1764140822130,0,-0.097000,-0.013000,1.044000,126,127,127,idle
1764140822151,0,-0.094000,-0.014000,1.045000,126,127,127,idle
1764140822171,0,-0.093000,-0.016000,1.045000,126,127,127,idle
1764140822192,0,-0.091000,-0.018000,1.047000,126,127,127,idle
1764140822211,0,-0.090000,-0.017000,1.048000,126,127,127,idle
1764140822232,0,-0.091000,-0.017000,1.047000,126,127,126,idle
1764140822253,0,-0.092000,-0.017000,1.046000,126,127,126,idle
1764140822273,0,-0.095000,-0.015000,1.046000,126,127,126,idle
1764140822293,0,-0.095000,-0.015000,1.046000,126,127,127,idle
1764140822314,0,-0.095000,-0.014000,1.046000,126,127,127,idle
1764140822335,0,-0.094000,-0.015000,1.047000,126,127,127,idle
1764140822357,0,-0.093000,-0.015000,1.046000,126,127,127,idle
1764140822378,0,-0.093000,-0.015000,1.046000,126,127,127,idle
1764140822398,0,-0.093000,-0.014000,1.046000,126,127,127,idle
1764140822418,0,-0.094000,-0.015000,1.046000,126,127,127,idle
1764140822439,0,-0.094000,-0.014000,1.045000,126,127,127,idle
1764140822460,0,-0.093000,-0.013000,1.045000,126,127,127,idle
1764140822479,0,-0.094000,-0.012000,1.047000,126,127,127,idle
1764140822500,0,-0.093000,-0.013000,1.047000,126,127,127,idle
1764140822519,0,-0.093000,-0.014000,1.048000,126,127,127,idle
1764140822540,0,-0.093000,-0.014000,1.049000,126,127,127,idle
1764140822560,0,-0.093000,-0.016000,1.048000,126,127,127,idle
1764140822581,0,-0.094000,-0.017000,1.047000,126,127,127,idle
1764140822600,0,-0.095000,-0.017000,1.047000,126,127,127,idle
1764140822622,0,-0.096000,-0.017000,1.047000,126,127,126,idle
1764140822642,0,-0.096000,-0.017000,1.048000,126,127,127,idle
1764140822663,0,-0.094000,-0.016000,1.047000,126,127,127,idle
1764140822683,0,-0.093000,-0.016000,1.048000,126,127,127,idle
1764140822704,0,-0.092000,-0.014000,1.047000,126,127,127,idle
1764140822724,0,-0.091000,-0.015000,1.047000,126,127,127,idle
1764140822744,0,-0.091000,-0.015000,1.045000,126,127,127,idle
1764140822765,0,-0.092000,-0.015000,1.045000,126,127,127,idle
1764140822785,0,-0.094000,-0.015000,1.045000,126,127,127,idle
1764140822804,0,-0.095000,-0.015000,1.045000,126,127,127,idle
1764140822825,0,-0.094000,-0.014000,1.047000,126,127,126,idle
1764140822844,0,-0.093000,-0.016000,1.047000,126,127,126,idle
1764140822865,0,-0.093000,-0.016000,1.046000,126,127,126,idle
1764140822886,0,-0.092000,-0.016000,1.047000,126,127,126,idle
1764140822906,0,-0.093000,-0.016000,1.046000,126,127,127,idle
1764140822928,0,-0.092000,-0.016000,1.046000,126,127,127,idle
1764140822949,0,-0.092000,-0.015000,1.045000,126,127,127,idle
1764140822968,0,-0.092000,-0.016000,1.046000,126,127,127,idle
1764140822989,0,-0.093000,-0.016000,1.046000,126,127,127,idle
1764140823011,0,-0.093000,-0.016000,1.046000,126,127,127,idle
1764140823034,0,-0.094000,-0.016000,1.046000,126,127,127,idle
1764140823055,0,-0.096000,-0.016000,1.046000,126,127,127,idle
